invoice_no,customer_id,category,quantity,price,invoice_date,shopping_mall
I138884,C241288,Clothing,5,1500.4,5/8/2022,Kanyon
I317333,C111565,Shoes,3,1800.51,12/12/2021,Forum Istanbul
I127801,C266599,Clothing,1,300.08,9/11/2021,Metrocity
I173702,C988172,Shoes,5,3000.85,16-05-2021,Metropol AVM
I337046,C189076,Books,4,60.6,24-10-2021,Kanyon
I227836,C657758,Clothing,5,1500.4,24-05-2022,Forum Istanbul
I121056,C151197,Cosmetics,1,40.66,13-03-2022,Istinye Park
I293112,C176086,Clothing,2,600.16,13-01-2021,Mall of Istanbul
I293455,C159642,Clothing,3,900.24,4/11/2021,Metrocity
I326945,C283361,Clothing,2,600.16,22-08-2021,Kanyon
I306368,C240286,Food & Beverage,2,10.46,25-12-2022,Metrocity
I139207,C191708,Books,1,15.15,28-10-2022,Emaar Square Mall
I640508,C225330,Toys,4,143.36,31-07-2022,Metrocity
I179802,C312861,Clothing,2,600.16,17-11-2022,Cevahir AVM
I336189,C555402,Clothing,2,600.16,3/6/2022,Kanyon
I688768,C362288,Shoes,5,3000.85,7/11/2021,Viaport Outlet
I294687,C300786,Books,2,30.3,16-01-2021,Metrocity
I195744,C330667,Food & Beverage,3,15.69,5/1/2022,Zorlu Center
I993048,C218149,Clothing,2,600.16,26-07-2021,Metropol AVM
I992454,C196845,Toys,4,143.36,7/3/2023,Cevahir AVM
I183746,C220180,Clothing,1,300.08,15-02-2023,Emaar Square Mall
I412481,C125696,Food & Beverage,1,5.23,1/5/2021,Cevahir AVM
I823067,C322947,Clothing,2,600.16,18-06-2022,Cevahir AVM
I252275,C313348,Technology,5,5250,26-10-2021,Kanyon
I174250,C204553,Books,5,75.75,16-12-2022,Metrocity
I195396,C285161,Toys,2,71.68,16-05-2021,Istinye Park
I196704,C289625,Cosmetics,5,203.3,20-04-2022,Mall of Istanbul
I217053,C192344,Shoes,4,2400.68,10/10/2022,Emaar Square Mall
I655874,C447138,Shoes,3,1800.51,23-08-2022,Cevahir AVM
I209744,C251229,Cosmetics,3,121.98,29-04-2021,Istinye Park
I161949,C159164,Toys,3,107.52,4/7/2022,Mall of Istanbul
I331891,C501658,Clothing,1,300.08,21-11-2021,Emaar Square Mall
I768348,C176727,Shoes,3,1800.51,23-02-2022,Kanyon
I109053,C232624,Clothing,4,1200.32,11/7/2021,Metrocity
I167211,C164092,Shoes,4,2400.68,30-08-2022,Zorlu Center
I339732,C276887,Food & Beverage,1,5.23,4/1/2023,Emaar Square Mall
I147062,C245456,Clothing,5,1500.4,21-06-2022,Kanyon
I187519,C450287,Clothing,2,600.16,8/7/2022,Metrocity
I106674,C204279,Clothing,2,600.16,27-02-2022,Kanyon
I473411,C452806,Clothing,1,300.08,19-12-2022,Metropol AVM
I246550,C716788,Food & Beverage,3,15.69,10/9/2021,Zorlu Center
I138674,C155059,Cosmetics,2,81.32,14-02-2022,Metropol AVM
I752693,C306662,Cosmetics,3,121.98,28-04-2022,Metrocity
I826174,C607615,Shoes,4,2400.68,20-06-2022,Metrocity
I296025,C120164,Shoes,3,1800.51,21-04-2022,Kanyon
I117291,C134449,Books,5,75.75,9/12/2022,Zorlu Center
I267193,C317818,Cosmetics,3,121.98,12/1/2023,Mall of Istanbul
I205366,C241642,Clothing,4,1200.32,7/11/2022,Zorlu Center
I269690,C126436,Cosmetics,3,121.98,7/2/2022,Zorlu Center
I304265,C653385,Books,5,75.75,13-06-2021,Forum Istanbul
I246562,C227070,Cosmetics,5,203.3,23-08-2021,Emaar Square Mall
I202367,C317478,Books,3,45.45,24-02-2023,Istinye Park
I664787,C237330,Cosmetics,2,81.32,12/1/2023,Istinye Park
I160777,C626042,Technology,4,4200,22-02-2022,Metrocity
I137794,C133687,Food & Beverage,3,15.69,12/3/2021,Viaport Outlet
I148377,C841663,Clothing,1,300.08,2/1/2022,Istinye Park
I258195,C213742,Toys,2,71.68,26-11-2021,Kanyon
I300213,C962515,Clothing,4,1200.32,21-04-2021,Kanyon
I263803,C112279,Food & Beverage,3,15.69,23-06-2021,Kanyon
I335713,C158837,Books,4,60.6,14-12-2021,Kanyon
I133061,C336576,Clothing,5,1500.4,9/6/2022,Mall of Istanbul
I207205,C716161,Clothing,1,300.08,26-11-2021,Kanyon
I209289,C439382,Clothing,4,1200.32,5/2/2021,Kanyon
I157285,C123427,Clothing,4,1200.32,6/3/2022,Mall of Istanbul
I218590,C224743,Cosmetics,4,162.64,9/5/2022,Metropol AVM
I181109,C119549,Toys,3,107.52,17-10-2022,Mall of Istanbul
I221715,C187266,Food & Beverage,3,15.69,22-01-2022,Cevahir AVM
I204979,C173084,Souvenir,5,58.65,14-03-2021,Istinye Park
I115146,C126956,Cosmetics,5,203.3,27-04-2022,Metrocity
I883721,C236859,Technology,5,5250,19-11-2021,Mall of Istanbul
I402376,C309926,Shoes,5,3000.85,10/9/2022,Forum Istanbul
I251356,C493252,Cosmetics,4,162.64,4/9/2021,Kanyon
I292239,C109871,Food & Beverage,5,26.15,21-08-2022,Mall of Istanbul
I276526,C136117,Shoes,5,3000.85,2/10/2021,Emaar Square Mall
I260525,C258404,Toys,3,107.52,7/1/2023,Emaar Square Mall
I870944,C169749,Souvenir,3,35.19,8/6/2021,Cevahir AVM
I739573,C199947,Clothing,5,1500.4,17-04-2021,Kanyon
I115870,C135790,Shoes,4,2400.68,4/9/2021,Metrocity
I190444,C606418,Food & Beverage,5,26.15,20-07-2022,Mall of Istanbul
I309552,C111611,Food & Beverage,4,20.92,14-07-2021,Istinye Park
I306076,C679476,Toys,2,71.68,1/11/2022,Emaar Square Mall
I321683,C542025,Cosmetics,4,162.64,6/1/2023,Metrocity
I151332,C168491,Souvenir,2,23.46,25-03-2021,Kanyon
I340014,C169650,Clothing,2,600.16,8/9/2022,Istinye Park
I249424,C158160,Food & Beverage,1,5.23,18-02-2022,Mall of Istanbul
I227716,C552345,Food & Beverage,2,10.46,22-04-2021,Kanyon
I140663,C218383,Clothing,5,1500.4,15-10-2022,Zorlu Center
I253242,C309438,Shoes,5,3000.85,7/4/2022,Mall of Istanbul
I108359,C253905,Food & Beverage,1,5.23,7/6/2022,Mall of Istanbul
I195567,C992677,Clothing,4,1200.32,22-01-2023,Metropol AVM
I289643,C584700,Technology,2,2100,22-08-2022,Kanyon
I722319,C157070,Toys,1,35.84,3/10/2021,Kanyon
I317105,C177975,Souvenir,5,58.65,29-07-2021,Kanyon
I215721,C830576,Cosmetics,2,81.32,16-12-2022,Metrocity
I154469,C807389,Toys,3,107.52,3/6/2021,Mall of Istanbul
I172458,C277842,Clothing,2,600.16,17-12-2021,Cevahir AVM
I297270,C183011,Clothing,5,1500.4,31-12-2022,Metropol AVM
I153930,C567813,Food & Beverage,3,15.69,9/8/2022,Forum Istanbul
I282854,C282974,Clothing,3,900.24,31-07-2022,Kanyon
I869144,C181972,Food & Beverage,4,20.92,4/5/2021,Mall of Istanbul
I283443,C189493,Technology,3,3150,25-05-2022,Viaport Outlet
I193271,C242748,Food & Beverage,3,15.69,23-12-2022,Kanyon
I985478,C324683,Clothing,4,1200.32,24-01-2023,Kanyon
I200392,C307921,Clothing,5,1500.4,14-09-2021,Viaport Outlet
I256691,C152549,Cosmetics,1,40.66,4/2/2022,Metrocity
I796162,C111832,Food & Beverage,5,26.15,6/1/2022,Metrocity
I224371,C204174,Clothing,5,1500.4,1/2/2022,Mall of Istanbul
I215998,C279370,Clothing,5,1500.4,26-10-2022,Cevahir AVM
I338966,C907582,Clothing,5,1500.4,21-09-2022,Mall of Istanbul
I293215,C166635,Cosmetics,4,162.64,12/12/2021,Istinye Park
I149688,C276043,Clothing,4,1200.32,21-08-2021,Zorlu Center
I109649,C282643,Food & Beverage,3,15.69,8/10/2021,Emaar Square Mall
I299820,C820515,Books,3,45.45,22-11-2021,Kanyon
I157775,C331761,Clothing,1,300.08,19-03-2022,Kanyon
I317140,C326893,Souvenir,5,58.65,19-10-2022,Istinye Park
